Genişletilmiş Sentetik Gönüllü ve Eğitim Veri Seti;;;;;;;
;;;;;;;
Başlık;Açıklama;;;;;;
Veri Niteliği;Tüm kişi, hesap, eğitim, sertifika, katılım ve sınav bilgileri tamamen sentetiktir.;;;;;;
Eğitim Türleri;Afet Farkındalık, Depremde Arama ve Kurtarma, Enkazda Arama ve Kurtarma Temel, Navigasyon, Kampçılık, Haberleşme ve Yangın Farkındalık.;;;;;;
Tarih Biçimi;"Tarih alanları gg.aa.yyyy; tarih-saat alanları gg.aa.yyyy ss:dd biçiminde gösterilir.";;;;;;
İlişkiler;Gönüllü ID, Eğitmen ID, Merkez Sorumlu ID, Eğitim ID ve Sınav ID alanları sayfalar arasında ilişki kurar.;;;;;;
Hesaplar;Her gönüllü, eğitmen ve merkez eğitim sorumlusu e-posta ve sentetik şifre ile bir hesaba bağlıdır.;;;;;;
Sınavlar;Katılımcı bazında sınava girme durumu, alınan puan ve geçti/kaldı bilgisi bulunur.;;;;;;
Referans Tarihi;17.07.2026;;;;;;
Yeni Seviyeli Eğitimler;Kentsel Arama Kurtarma, Su Arama Kurtarma ve Doğada Arama Kurtarma eğitimleri Seviye 1-5 olarak eklenmiştir.;;;;;;
Seviye Yapısı;"Her eğitim grubu için 5 seviye vardır; süre ve geçme puanı seviyeye göre artar.";;;;;;
Toplam Yeni Eğitim;15;;;;;;

Gönüllü ID;Ad Soyad;Telefon;Telefon Son Güncelleme;E-posta;Şifre;İl;Bölge;Aldığı Eğitimler;Uzmanlık Alanı;Durum;
EĞT-0037;Su Arama Kurtarma Seviye 1 Eğitimi;Su Arama Kurtarma 1;İl Bazlı;Ordu;Karadeniz;Ordu Saha Eğitim Alanı;30.04.2026 09:00;01.05.2026 17:00;2;EGT-0006;MES-0005;25;Tamamlandı;
EĞT-0038;Su Arama Kurtarma Seviye 2 Eğitimi;Su Arama Kurtarma 2;Bölge Bazlı;İstanbul;Marmara;İstanbul AFAD Salonu;12.05.2026 09:00;14.05.2026 17:00;3;EGT-0007;MES-0001;30;Tamamlandı;
EĞT-0039;Su Arama Kurtarma Seviye 3 Eğitimi;Su Arama Kurtarma 3;Ulusal;Aydın;Ege;Aydın AFAD Salonu;24.05.2026 09:00;27.05.2026 17:00;4;EGT-0008;MES-0002;35;Tamamlandı;
EĞT-0040;Su Arama Kurtarma Seviye 4 Eğitimi;Su Arama Kurtarma 4;İl Bazlı;Eskişehir;İç Anadolu;Eskişehir Eğitim Merkezi;05.06.2026 09:00;09.06.2026 17:00;5;EGT-0009;MES-0004;40;Tamamlandı;
EĞT-0041;Su Arama Kurtarma Seviye 5 Eğitimi;Su Arama Kurtarma 5;Bölge Bazlı;Van;Doğu Anadolu;Van Saha Eğitim Alanı;17.06.2026 09:00;21.06.2026 17:00;5;EGT-0010;MES-0006;45;Tamamlandı;
EĞT-0042;Doğada Arama Kurtarma Seviye 1 Eğitimi;Doğada Arama Kurtarma 1;İl Bazlı;Rize;Karadeniz;Rize AFAD Salonu;29.06.2026 09:00;30.06.2026 17:00;2;EGT-0011;MES-0005;25;Tamamlandı;
EĞT-0043;Doğada Arama Kurtarma Seviye 2 Eğitimi;Doğada Arama Kurtarma 2;Bölge Bazlı;Van;Doğu Anadolu;Van Saha Eğitim Alanı;11.07.2026 09:00;13.07.2026 17:00;3;EGT-0012;MES-0006;30;Tamamlandı;
EĞT-0044;Doğada Arama Kurtarma Seviye 3 Eğitimi;Doğada Arama Kurtarma 3;Ulusal;Eskişehir;İç Anadolu;Eskişehir AFAD Salonu;23.07.2026 09:00;26.07.2026 17:00;4;EGT-0001;MES-0004;35;Planlandı;
EĞT-0045;Doğada Arama Kurtarma Seviye 4 Eğitimi;Doğada Arama Kurtarma 4;İl Bazlı;Diyarbakır;Güneydoğu Anadolu;Diyarbakır AFAD Salonu;04.08.2026 09:00;08.08.2026 17:00;5;EGT-0002;MES-0007;40;Planlandı;
EĞT-0046;Doğada Arama Kurtarma Seviye 5 Eğitimi;Doğada Arama Kurtarma 5;Bölge Bazlı;Balıkesir;Marmara;Balıkesir Koordinasyon Merkezi;16.08.2026 09:00;20.08.2026 17:00;5;EGT-0003;MES-0001;45;Planlandı;

Kayıt ID;Eğitim ID;Eğitmen ID;Rol;
TEG-0001;EĞT-0001;EGT-0004;Baş Eğitmen;
TEG-0002;EĞT-0002;EGT-0003;Baş Eğitmen;
TEG-0003;EĞT-0003;EGT-0010;Baş Eğitmen;
TEG-0004;EĞT-0004;EGT-0010;Baş Eğitmen;
TEG-0005;EĞT-0005;EGT-0010;Baş Eğitmen;
TEG-0006;EĞT-0006;EGT-0012;Baş Eğitmen;
TEG-0007;EĞT-0007;EGT-0007;Baş Eğitmen;
TEG-0008;EĞT-0008;EGT-0012;Baş Eğitmen;
TEG-0009;EĞT-0009;EGT-0006;Baş Eğitmen;
TEG-0010;EĞT-0010;EGT-0011;Baş Eğitmen;
TEG-0011;EĞT-0011;EGT-0005;Baş Eğitmen;
TEG-0012;EĞT-0012;EGT-0006;Baş Eğitmen;
TEG-0013;EĞT-0013;EGT-0003;Baş Eğitmen;
TEG-0014;EĞT-0014;EGT-0006;Baş Eğitmen;
TEG-0015;EĞT-0015;EGT-0003;Baş Eğitmen;
TEG-0016;EĞT-0016;EGT-0006;Baş Eğitmen;
TEG-0017;EĞT-0017;EGT-0002;Baş Eğitmen;
TEG-0018;EĞT-0018;EGT-0005;Baş Eğitmen;
TEG-0019;EĞT-0019;EGT-0006;Baş Eğitmen;
TEG-0020;EĞT-0020;EGT-0006;Baş Eğitmen;
TEG-0021;EĞT-0021;EGT-0004;Baş Eğitmen;
TEG-0022;EĞT-0022;EGT-0005;Baş Eğitmen;
TEG-0023;EĞT-0023;EGT-0006;Baş Eğitmen;
TEG-0024;EĞT-0024;EGT-0005;Baş Eğitmen;
TEG-0025;EĞT-0025;EGT-0010;Baş Eğitmen;
TEG-0026;EĞT-0026;EGT-0002;Baş Eğitmen;
TEG-0027;EĞT-0027;EGT-0003;Baş Eğitmen;
TEG-0028;EĞT-0028;EGT-0004;Baş Eğitmen;
TEG-0029;EĞT-0029;EGT-0003;Baş Eğitmen;
TEG-0030;EĞT-0030;EGT-0010;Baş Eğitmen;
TEG-0032;EĞT-0032;EGT-0001;Baş Eğitmen;
TEG-0033;EĞT-0033;EGT-0002;Baş Eğitmen;
TEG-0034;EĞT-0034;EGT-0003;Baş Eğitmen;
TEG-0035;EĞT-0035;EGT-0004;Baş Eğitmen;
TEG-0036;EĞT-0036;EGT-0005;Baş Eğitmen;
TEG-0037;EĞT-0037;EGT-0006;Baş Eğitmen;
TEG-0038;EĞT-0038;EGT-0007;Baş Eğitmen;
TEG-0039;EĞT-0039;EGT-0008;Baş Eğitmen;
TEG-0040;EĞT-0040;EGT-0009;Baş Eğitmen;
TEG-0041;EĞT-0041;EGT-0010;Baş Eğitmen;
TEG-0042;EĞT-0042;EGT-0011;Baş Eğitmen;
TEG-0043;EĞT-0043;EGT-0012;Baş Eğitmen;
TEG-0044;EĞT-0044;EGT-0001;Baş Eğitmen;
TEG-0045;EĞT-0045;EGT-0002;Baş Eğitmen;
TEG-0046;EĞT-0046;EGT-0003;Baş Eğitmen;

Katılım ID;Eğitim ID;Gönüllü ID;Katılımcı Ad Soyad;Katılım Durumu;Katılım Yüzdesi;
KAT-0001;EĞT-0001;GNL-0062;Mehmet Aksoy;Tam Katılım;83;
KAT-0002;EĞT-0001;GNL-0041;Selin Polat;Tam Katılım;91;
KAT-0003;EĞT-0001;GNL-0071;Hakan Aslan;Kısmi Katılım;61;
KAT-0004;EĞT-0001;GNL-0044;Ayşe Çelik;Kısmi Katılım;47;
KAT-0005;EĞT-0001;GNL-0045;Can Aksoy;Tam Katılım;96;
KAT-0006;EĞT-0001;GNL-0047;Umut Şahin;Kısmi Katılım;41;
KAT-0007;EĞT-0001;GNL-0066;Barış Kaya;Tam Katılım;76;
KAT-0008;EĞT-0001;GNL-0049;Ece Öztürk;Tam Katılım;82;
KAT-0009;EĞT-0001;GNL-0035;Zeynep Polat;Tam Katılım;96;
KAT-0010;EĞT-0001;GNL-0043;Nazlı Doğan;Tam Katılım;83;
KAT-0011;EĞT-0001;GNL-0012;Elif Kara;Tam Katılım;88;
KAT-0012;EĞT-0001;GNL-0027;Nazlı Kara;Tam Katılım;84;
KAT-0013;EĞT-0001;GNL-0068;Buse Aydın;Tam Katılım;85;
KAT-0014;EĞT-0001;GNL-0046;Barış Yıldız;Tam Katılım;92;
KAT-0015;EĞT-0001;GNL-0008;Ayşe Aydın;Katılmadı;0;
KAT-0016;EĞT-0001;GNL-0025;Furkan Şahin;Tam Katılım;81;
KAT-0017;EĞT-0002;GNL-0010;Hakan Doğan;Tam Katılım;95;
KAT-0018;EĞT-0002;GNL-0037;Onur Aslan;Tam Katılım;88;
KAT-0019;EĞT-0002;GNL-0057;Emre Doğan;Tam Katılım;77;
KAT-0020;EĞT-0002;GNL-0069;Elif Çelik;Tam Katılım;100;
KAT-0021;EĞT-0002;GNL-0043;Nazlı Doğan;Tam Katılım;93;
KAT-0022;EĞT-0002;GNL-0021;Burak Öztürk;Kısmi Katılım;47;
KAT-0023;EĞT-0002;GNL-0017;Pelin Aydın;Tam Katılım;83;
KAT-0024;EĞT-0002;GNL-0060;Ceren Aydın;Tam Katılım;88;
KAT-0025;EĞT-0002;GNL-0016;Ece Doğan;Tam Katılım;97;
KAT-0026;EĞT-0002;GNL-0026;Pelin Şahin;Tam Katılım;95;
KAT-0027;EĞT-0002;GNL-0009;Selin Aslan;Kısmi Katılım;24;
KAT-0028;EĞT-0002;GNL-0080;Buse Kaya;Tam Katılım;96;
KAT-0029;EĞT-0002;GNL-0051;Melis Çetin;Tam Katılım;79;
KAT-0030;EĞT-0002;GNL-0040;Selin Özdemir;Tam Katılım;86;
KAT-0031;EĞT-0002;GNL-0050;Hakan Özdemir;Tam Katılım;90;
KAT-0032;EĞT-0003;GNL-0012;Elif Kara;Tam Katılım;92;
KAT-0033;EĞT-0003;GNL-0024;Melis Yılmaz;Tam Katılım;89;
KAT-0034;EĞT-0003;GNL-0003;Seda Kara;Tam Katılım;76;
KAT-0035;EĞT-0003;GNL-0037;Onur Aslan;Tam Katılım;96;
KAT-0036;EĞT-0003;GNL-0060;Ceren Aydın;Tam Katılım;98;
KAT-0037;EĞT-0003;GNL-0025;Furkan Şahin;Tam Katılım;81;
KAT-0038;EĞT-0003;GNL-0028;Hakan Şahin;Tam Katılım;91;
KAT-0039;EĞT-0003;GNL-0057;Emre Doğan;Tam Katılım;86;
KAT-0040;EĞT-0003;GNL-0059;Tuğçe Doğan;Tam Katılım;98;
KAT-0041;EĞT-0003;GNL-0063;Derya Kaya;Tam Katılım;90;
KAT-0042;EĞT-0003;GNL-0071;Hakan Aslan;Tam Katılım;75;
KAT-0043;EĞT-0003;GNL-0039;Furkan Kurt;Tam Katılım;92;
KAT-0044;EĞT-0004;GNL-0041;Selin Polat;Tam Katılım;77;
KAT-0045;EĞT-0004;GNL-0002;Mert Yıldız;Tam Katılım;76;
KAT-0046;EĞT-0004;GNL-0005;Aslı Yıldız;Tam Katılım;99;
KAT-0047;EĞT-0004;GNL-0032;Selin Aslan;Tam Katılım;82;
KAT-0048;EĞT-0004;GNL-0019;Melis Öztürk;Tam Katılım;81;
KAT-0049;EĞT-0004;GNL-0080;Buse Kaya;Tam Katılım;88;
KAT-0050;EĞT-0004;GNL-0059;Tuğçe Doğan;Katılmadı;0;
KAT-0051;EĞT-0004;GNL-0006;Cem Şahin;Tam Katılım;100;
KAT-0052;EĞT-0004;GNL-0020;Zeynep Kaya;Tam Katılım;82;
KAT-0053;EĞT-0004;GNL-0013;Mert Aksoy;Tam Katılım;80;
KAT-0054;EĞT-0004;GNL-0021;Burak Öztürk;Tam Katılım;75;
KAT-0055;EĞT-0004;GNL-0004;Umut Doğan;Tam Katılım;79;
KAT-0056;EĞT-0004;GNL-0060;Ceren Aydın;Tam Katılım;89;
KAT-0057;EĞT-0004;GNL-0071;Hakan Aslan;Tam Katılım;82;
KAT-0058;EĞT-0004;GNL-0039;Furkan Kurt;Katılmadı;0;
KAT-0059;EĞT-0004;GNL-0077;Can Şahin;Tam Katılım;75;
KAT-0060;EĞT-0004;GNL-0073;Pelin Yılmaz;Tam Katılım;100;
KAT-0061;EĞT-0004;GNL-0044;Ayşe Çelik;Tam Katılım;89;
KAT-0062;EĞT-0004;GNL-0046;Barış Yıldız;Tam Katılım;84;
KAT-0063;EĞT-0004;GNL-0038;Ayşe Kılıç;Tam Katılım;76;
KAT-0064;EĞT-0004;GNL-0007;Elif Çelik;Tam Katılım;84;
KAT-0065;EĞT-0004;GNL-0009;Selin Aslan;Tam Katılım;96;
KAT-0066;EĞT-0004;GNL-0065;Aslı Polat;Tam Katılım;94;
KAT-0067;EĞT-0004;GNL-0037;Onur Aslan;Kısmi Katılım;45;
KAT-0068;EĞT-0005;GNL-0006;Cem Şahin;Tam Katılım;77;
KAT-0069;EĞT-0005;GNL-0010;Hakan Doğan;Tam Katılım;75;
KAT-0070;EĞT-0005;GNL-0027;Nazlı Kara;Tam Katılım;100;
KAT-0071;EĞT-0005;GNL-0019;Melis Öztürk;Tam Katılım;77;
KAT-0072;EĞT-0005;GNL-0073;Pelin Yılmaz;Tam Katılım;83;
KAT-0073;EĞT-0005;GNL-0042;Elif Çetin;Tam Katılım;89;
KAT-0074;EĞT-0005;GNL-0076;Elif Şimşek;Tam Katılım;88;
KAT-0075;EĞT-0005;GNL-0020;Zeynep Kaya;Tam Katılım;82;
KAT-0076;EĞT-0005;GNL-0034;Onur Aydın;Tam Katılım;96;
KAT-0077;EĞT-0005;GNL-0071;Hakan Aslan;Tam Katılım;75;
KAT-0078;EĞT-0006;GNL-0040;Selin Özdemir;Tam Katılım;93;
KAT-0079;EĞT-0006;GNL-0070;Pelin Aksoy;Tam Katılım;100;
KAT-0080;EĞT-0006;GNL-0024;Melis Yılmaz;Tam Katılım;85;
KAT-0081;EĞT-0006;GNL-0021;Burak Öztürk;Tam Katılım;83;
KAT-0082;EĞT-0006;GNL-0025;Furkan Şahin;Katılmadı;0;
KAT-0083;EĞT-0006;GNL-0055;İrem Çelik;Tam Katılım;87;
KAT-0084;EĞT-0006;GNL-0022;Elif Çetin;Tam Katılım;90;
KAT-0085;EĞT-0006;GNL-0046;Barış Yıldız;Katılmadı;0;
KAT-0086;EĞT-0006;GNL-0032;Selin Aslan;Katılmadı;0;
KAT-0087;EĞT-0006;GNL-0030;Hakan Çetin;Tam Katılım;97;
KAT-0088;EĞT-0006;GNL-0037;Onur Aslan;Tam Katılım;85;
KAT-0089;EĞT-0006;GNL-0050;Hakan Özdemir;Tam Katılım;92;
KAT-0090;EĞT-0006;GNL-0005;Aslı Yıldız;Tam Katılım;96;
KAT-0091;EĞT-0006;GNL-0059;Tuğçe Doğan;Tam Katılım;77;
KAT-0092;EĞT-0006;GNL-0048;Mert Polat;Tam Katılım;86;
KAT-0093;EĞT-0006;GNL-0066;Barış Kaya;Tam Katılım;93;
KAT-0094;EĞT-0007;GNL-0042;Elif Çetin;Kısmi Katılım;53;
KAT-0095;EĞT-0007;GNL-0049;Ece Öztürk;Tam Katılım;92;
KAT-0096;EĞT-0007;GNL-0040;Selin Özdemir;Tam Katılım;93;
KAT-0097;EĞT-0007;GNL-0067;Emre Öztürk;Tam Katılım;93;
KAT-0098;EĞT-0007;GNL-0063;Derya Kaya;Tam Katılım;79;
KAT-0099;EĞT-0007;GNL-0033;Ece Özdemir;Kısmi Katılım;35;
KAT-0100;EĞT-0007;GNL-0032;Selin Aslan;Tam Katılım;87;
KAT-0101;EĞT-0007;GNL-0070;Pelin Aksoy;Tam Katılım;100;
KAT-0102;EĞT-0007;GNL-0027;Nazlı Kara;Tam Katılım;95;
KAT-0103;EĞT-0007;GNL-0056;Umut Şahin;Tam Katılım;83;
KAT-0104;EĞT-0007;GNL-0046;Barış Yıldız;Tam Katılım;89;
KAT-0105;EĞT-0007;GNL-0077;Can Şahin;Tam Katılım;76;
KAT-0106;EĞT-0007;GNL-0078;Mert Kara;Tam Katılım;82;
KAT-0107;EĞT-0007;GNL-0066;Barış Kaya;Kısmi Katılım;68;
KAT-0108;EĞT-0007;GNL-0074;Ayşe Özdemir;Tam Katılım;86;
KAT-0109;EĞT-0007;GNL-0058;Melis Kılıç;Tam Katılım;77;
KAT-0110;EĞT-0007;GNL-0050;Hakan Özdemir;Tam Katılım;95;
KAT-0111;EĞT-0007;GNL-0080;Buse Kaya;Tam Katılım;88;
KAT-0112;EĞT-0007;GNL-0018;Derya Aksoy;Tam Katılım;93;
KAT-0113;EĞT-0007;GNL-0015;Furkan Öztürk;Kısmi Katılım;24;
KAT-0114;EĞT-0007;GNL-0053;Tolga Kurt;Tam Katılım;92;
KAT-0115;EĞT-0007;GNL-0030;Hakan Çetin;Tam Katılım;77;
KAT-0116;EĞT-0007;GNL-0024;Melis Yılmaz;Tam Katılım;81;
KAT-0117;EĞT-0007;GNL-0023;İrem Aslan;Tam Katılım;83;
KAT-0118;EĞT-0007;GNL-0035;Zeynep Polat;Tam Katılım;90;
KAT-0119;EĞT-0008;GNL-0019;Melis Öztürk;Kısmi Katılım;48;
KAT-0120;EĞT-0008;GNL-0007;Elif Çelik;Tam Katılım;95;
KAT-0121;EĞT-0008;GNL-0022;Elif Çetin;Katılmadı;0;
KAT-0122;EĞT-0008;GNL-0026;Pelin Şahin;Tam Katılım;88;
KAT-0123;EĞT-0008;GNL-0031;Hakan Yıldız;Tam Katılım;85;
KAT-0124;EĞT-0008;GNL-0051;Melis Çetin;Kısmi Katılım;73;
KAT-0125;EĞT-0008;GNL-0071;Hakan Aslan;Kısmi Katılım;64;
KAT-0126;EĞT-0008;GNL-0076;Elif Şimşek;Kısmi Katılım;71;
KAT-0127;EĞT-0008;GNL-0009;Selin Aslan;Tam Katılım;94;
KAT-0128;EĞT-0008;GNL-0050;Hakan Özdemir;Tam Katılım;83;
KAT-0129;EĞT-0008;GNL-0035;Zeynep Polat;Tam Katılım;76;
KAT-0130;EĞT-0008;GNL-0064;Hakan Aslan;Tam Katılım;75;
KAT-0131;EĞT-0008;GNL-0077;Can Şahin;Tam Katılım;98;
KAT-0132;EĞT-0008;GNL-0005;Aslı Yıldız;Kısmi Katılım;53;
KAT-0133;EĞT-0008;GNL-0016;Ece Doğan;Tam Katılım;98;
KAT-0134;EĞT-0008;GNL-0021;Burak Öztürk;Tam Katılım;83;
KAT-0135;EĞT-0008;GNL-0027;Nazlı Kara;Tam Katılım;89;
KAT-0136;EĞT-0008;GNL-0004;Umut Doğan;Tam Katılım;100;
KAT-0137;EĞT-0008;GNL-0033;Ece Özdemir;Tam Katılım;93;
KAT-0138;EĞT-0008;GNL-0074;Ayşe Özdemir;Tam Katılım;78;
KAT-0139;EĞT-0008;GNL-0056;Umut Şahin;Tam Katılım;98;
KAT-0140;EĞT-0009;GNL-0063;Derya Kaya;Tam Katılım;78;
KAT-0141;EĞT-0009;GNL-0023;İrem Aslan;Tam Katılım;78;
KAT-0142;EĞT-0009;GNL-0019;Melis Öztürk;Tam Katılım;81;
KAT-0143;EĞT-0009;GNL-0010;Hakan Doğan;Tam Katılım;94;
KAT-0144;EĞT-0009;GNL-0039;Furkan Kurt;Tam Katılım;99;
KAT-0145;EĞT-0009;GNL-0055;İrem Çelik;Tam Katılım;87;
KAT-0146;EĞT-0009;GNL-0072;Emre Özdemir;Tam Katılım;93;
KAT-0147;EĞT-0009;GNL-0069;Elif Çelik;Tam Katılım;91;
KAT-0148;EĞT-0009;GNL-0078;Mert Kara;Tam Katılım;84;
KAT-0149;EĞT-0009;GNL-0030;Hakan Çetin;Katılmadı;0;
KAT-0150;EĞT-0009;GNL-0043;Nazlı Doğan;Kısmi Katılım;63;
KAT-0151;EĞT-0009;GNL-0024;Melis Yılmaz;Tam Katılım;90;
KAT-0152;EĞT-0009;GNL-0064;Hakan Aslan;Tam Katılım;90;
KAT-0153;EĞT-0009;GNL-0032;Selin Aslan;Tam Katılım;97;
KAT-0154;EĞT-0009;GNL-0074;Ayşe Özdemir;Kısmi Katılım;73;
KAT-0155;EĞT-0009;GNL-0017;Pelin Aydın;Tam Katılım;80;
KAT-0156;EĞT-0009;GNL-0007;Elif Çelik;Tam Katılım;77;
KAT-0157;EĞT-0009;GNL-0004;Umut Doğan;Tam Katılım;100;
KAT-0158;EĞT-0009;GNL-0020;Zeynep Kaya;Tam Katılım;78;
KAT-0159;EĞT-0009;GNL-0073;Pelin Yılmaz;Tam Katılım;78;
KAT-0160;EĞT-0009;GNL-0016;Ece Doğan;Tam Katılım;87;
KAT-0161;EĞT-0009;GNL-0009;Selin Aslan;Tam Katılım;92;
KAT-0162;EĞT-0009;GNL-0076;Elif Şimşek;Tam Katılım;90;
KAT-0163;EĞT-0009;GNL-0046;Barış Yıldız;Tam Katılım;84;
KAT-0164;EĞT-0009;GNL-0033;Ece Özdemir;Tam Katılım;91;
KAT-0165;EĞT-0009;GNL-0036;Ayşe Şimşek;Tam Katılım;78;
KAT-0166;EĞT-0009;GNL-0031;Hakan Yıldız;Tam Katılım;76;
KAT-0167;EĞT-0009;GNL-0022;Elif Çetin;Tam Katılım;76;
KAT-0168;EĞT-0009;GNL-0035;Zeynep Polat;Tam Katılım;88;
KAT-0169;EĞT-0010;GNL-0058;Melis Kılıç;Kısmi Katılım;67;
KAT-0170;EĞT-0010;GNL-0057;Emre Doğan;Kısmi Katılım;65;
KAT-0171;EĞT-0010;GNL-0006;Cem Şahin;Tam Katılım;80;
KAT-0172;EĞT-0010;GNL-0002;Mert Yıldız;Tam Katılım;100;
KAT-0173;EĞT-0010;GNL-0026;Pelin Şahin;Tam Katılım;82;
KAT-0174;EĞT-0010;GNL-0036;Ayşe Şimşek;Tam Katılım;83;
KAT-0175;EĞT-0010;GNL-0004;Umut Doğan;Tam Katılım;96;
KAT-0176;EĞT-0010;GNL-0038;Ayşe Kılıç;Tam Katılım;77;
KAT-0177;EĞT-0010;GNL-0056;Umut Şahin;Tam Katılım;98;
KAT-0178;EĞT-0010;GNL-0050;Hakan Özdemir;Tam Katılım;94;
KAT-0179;EĞT-0010;GNL-0016;Ece Doğan;Tam Katılım;96;
KAT-0180;EĞT-0010;GNL-0066;Barış Kaya;Kısmi Katılım;28;
KAT-0181;EĞT-0010;GNL-0001;Tolga Öztürk;Tam Katılım;76;
KAT-0182;EĞT-0010;GNL-0005;Aslı Yıldız;Tam Katılım;97;
KAT-0183;EĞT-0010;GNL-0034;Onur Aydın;Tam Katılım;85;
KAT-0184;EĞT-0010;GNL-0030;Hakan Çetin;Kısmi Katılım;51;
KAT-0185;EĞT-0010;GNL-0071;Hakan Aslan;Tam Katılım;80;
KAT-0186;EĞT-0010;GNL-0021;Burak Öztürk;Tam Katılım;96;
KAT-0187;EĞT-0010;GNL-0015;Furkan Öztürk;Tam Katılım;82;
KAT-0188;EĞT-0010;GNL-0043;Nazlı Doğan;Kısmi Katılım;37;
KAT-0189;EĞT-0010;GNL-0018;Derya Aksoy;Tam Katılım;87;
KAT-0190;EĞT-0010;GNL-0065;Aslı Polat;Tam Katılım;76;
KAT-0191;EĞT-0010;GNL-0069;Elif Çelik;Tam Katılım;76;
KAT-0192;EĞT-0010;GNL-0078;Mert Kara;Tam Katılım;100;
KAT-0193;EĞT-0010;GNL-0027;Nazlı Kara;Tam Katılım;79;
KAT-0194;EĞT-0011;GNL-0058;Melis Kılıç;Tam Katılım;88;
KAT-0195;EĞT-0011;GNL-0005;Aslı Yıldız;Kısmi Katılım;50;
KAT-0196;EĞT-0011;GNL-0039;Furkan Kurt;Tam Katılım;84;
KAT-0197;EĞT-0011;GNL-0006;Cem Şahin;Tam Katılım;91;
KAT-0198;EĞT-0011;GNL-0041;Selin Polat;Tam Katılım;96;
KAT-0199;EĞT-0011;GNL-0066;Barış Kaya;Tam Katılım;79;
KAT-0200;EĞT-0011;GNL-0010;Hakan Doğan;Tam Katılım;76;
KAT-0201;EĞT-0011;GNL-0043;Nazlı Doğan;Tam Katılım;88;
KAT-0202;EĞT-0011;GNL-0012;Elif Kara;Tam Katılım;93;
KAT-0203;EĞT-0011;GNL-0059;Tuğçe Doğan;Tam Katılım;81;
KAT-0204;EĞT-0011;GNL-0028;Hakan Şahin;Tam Katılım;84;
KAT-0205;EĞT-0011;GNL-0080;Buse Kaya;Katılmadı;0;
KAT-0206;EĞT-0011;GNL-0065;Aslı Polat;Tam Katılım;89;
KAT-0207;EĞT-0011;GNL-0073;Pelin Yılmaz;Tam Katılım;99;
KAT-0208;EĞT-0011;GNL-0048;Mert Polat;Tam Katılım;95;
KAT-0209;EĞT-0011;GNL-0050;Hakan Özdemir;Tam Katılım;77;
KAT-0210;EĞT-0011;GNL-0072;Emre Özdemir;Tam Katılım;81;
KAT-0211;EĞT-0011;GNL-0074;Ayşe Özdemir;Kısmi Katılım;34;
KAT-0212;EĞT-0012;GNL-0045;Can Aksoy;Katılmadı;0;
KAT-0213;EĞT-0012;GNL-0059;Tuğçe Doğan;Tam Katılım;80;
KAT-0214;EĞT-0012;GNL-0077;Can Şahin;Tam Katılım;94;
KAT-0215;EĞT-0012;GNL-0032;Selin Aslan;Kısmi Katılım;63;
KAT-0216;EĞT-0012;GNL-0053;Tolga Kurt;Kısmi Katılım;67;
KAT-0217;EĞT-0012;GNL-0067;Emre Öztürk;Katılmadı;0;
KAT-0218;EĞT-0012;GNL-0040;Selin Özdemir;Tam Katılım;86;
KAT-0219;EĞT-0012;GNL-0041;Selin Polat;Tam Katılım;98;
KAT-0220;EĞT-0012;GNL-0048;Mert Polat;Tam Katılım;82;
KAT-0221;EĞT-0012;GNL-0042;Elif Çetin;Tam Katılım;80;
KAT-0222;EĞT-0012;GNL-0038;Ayşe Kılıç;Tam Katılım;76;
KAT-0223;EĞT-0012;GNL-0025;Furkan Şahin;Tam Katılım;75;
KAT-0224;EĞT-0012;GNL-0070;Pelin Aksoy;Tam Katılım;87;
KAT-0225;EĞT-0012;GNL-0078;Mert Kara;Tam Katılım;99;
KAT-0226;EĞT-0012;GNL-0060;Ceren Aydın;Katılmadı;0;
KAT-0227;EĞT-0012;GNL-0019;Melis Öztürk;Tam Katılım;87;
KAT-0228;EĞT-0012;GNL-0015;Furkan Öztürk;Katılmadı;0;
KAT-0229;EĞT-0013;GNL-0040;Selin Özdemir;Katılmadı;0;
KAT-0230;EĞT-0013;GNL-0010;Hakan Doğan;Kısmi Katılım;31;
KAT-0231;EĞT-0013;GNL-0034;Onur Aydın;Kısmi Katılım;50;
KAT-0232;EĞT-0013;GNL-0065;Aslı Polat;Tam Katılım;82;
KAT-0233;EĞT-0013;GNL-0046;Barış Yıldız;Tam Katılım;75;
KAT-0234;EĞT-0013;GNL-0035;Zeynep Polat;Kısmi Katılım;22;
KAT-0235;EĞT-0013;GNL-0038;Ayşe Kılıç;Tam Katılım;76;
KAT-0236;EĞT-0013;GNL-0042;Elif Çetin;Tam Katılım;79;
KAT-0237;EĞT-0013;GNL-0048;Mert Polat;Tam Katılım;98;
KAT-0238;EĞT-0013;GNL-0021;Burak Öztürk;Kısmi Katılım;58;
KAT-0239;EĞT-0013;GNL-0057;Emre Doğan;Tam Katılım;86;
KAT-0240;EĞT-0013;GNL-0009;Selin Aslan;Tam Katılım;96;
KAT-0241;EĞT-0013;GNL-0015;Furkan Öztürk;Tam Katılım;97;
KAT-0242;EĞT-0013;GNL-0073;Pelin Yılmaz;Tam Katılım;91;
KAT-0243;EĞT-0013;GNL-0066;Barış Kaya;Tam Katılım;95;
KAT-0244;EĞT-0013;GNL-0053;Tolga Kurt;Tam Katılım;75;
KAT-0245;EĞT-0013;GNL-0071;Hakan Aslan;Katılmadı;0;
